text,sentiment_category
alalı 2 hafta olmadı turbo başlık iç taraftan kırıldı tendonları kopmuş elin kolda sallandığı sallanıyor servisi kırılmaların garantisi olmadığını söyledi i̇ade işlemi başlattım amazona iade işlemini hemen gerçekleştirdiği teşekkür ederim,0.875
ürün philips kutusu içerisinde gönderildi az teslim aldım parçaları sağlam kutu bantlanmamış garanti belgesi çıkmadı satıcının ulaşmasını rica ediyorum,0.375
ürünü özellikle silme başlığı almamıza silme başlığı olmadan gönderildi,-0.3333333333333332
sessiz çekişi çok güzel başlıkları ihtiyaca uygun,0.9962121212121211
ürün kaliteli fiyat performans çekim gücü yeterli,1.25
pratik ıslak ucu müthiş değil iş görüyor mühendislik harikası,-0.3125
3 +1 evi köşe bucak detaylı temizlikte şarjı bitmeden rahatlıkla süpürüyor çekim gücü çok yeterli kullanışı çok rahat halılarda abartıldığı zorlanma olmuyor ana sorun yaşamadım,0.41666666666666663
kesinlikle tavsiye ederim harika çekim gücü kullanım kolaylığı uzun süre yeten şarj evi süpürmeye başlayınca biten alerji sayayım,0.625
urun 24 saat gelmeden sağlam sekilde elime ulasti 2haftadir kullanıyorum simdi yorum yazmak istedim urun kurusu hakediyor evimde kısa tuzlu kopeğim olduğu için yalnızca koltuk yatak vs supurmek için şey ararken almus bulundum turbo baslık harika yatakta koltukta kil thy kalmıyor tek negatif onu turbo basligi fircasi sac dolanınca hata veriyor temizlemesi kolay olduğu için hemen temizleyip devam edebiliyorsunuz yatagimi hergün supuruyorum gün 1 parmak toz dikiyor sikli kuru baslık harika i̇nsan tozu göre göre çekince bu rahatlama geliyor islak kuru arasında fark vardi kullanmam alois'ken i̇slam base'likli olan alayım dedim iyi alois'im supurup sileceğine inanmamistim halilari supurup geri kalan yerlere pek dokunmadım gerçekten supurup siliyor gerçekten çok basarili manevra kabiliyeti çok iyi bunun 2 oda 1 salon evi önce kuru i̇slam temizleyerek 2. kademede sudur'dum %40 sari turbo modda calistirdiginizda biraz gizli bitiyor sarı tek eleştirim tik air el degistire degistire supurunce halloluyor memnun kalacagimi dusunmemistim vila'da vs dolaplrin içine girdi 1 kapak deterjanla bunun ev mis oldu detrrjanin kokusunu veriyor iyi alois'im dyson siret moda oldu kadar pahalı özellikleri olin'ini almak isterseniz neredeyse 2 kati philips hiç ezmedi çok basarili urun pişman olmazsiniz tesekkurler,1.8292457542457548
kullanışlı montajı kolay tavsiye ediyorum eşim gayet memnun,0.7083333333333333
çok pratik evcil hayvan tüyleri temizliği almıştım evimin günlük süpürgesini çok rahat yapabiliyorum kesinlikle alinmali,-0.1458333333333334
süpürme süresi çekiş gücü hersey'imle mükemmel fiyat tabii,1.1666666666666665
özenle paketlenmiş hızlı teslimat teşekkürler,0.45
ürünü öncesinde alt versiyonunu deneyip aldım fırçalı başlıkla halının ruhunu söküyor resmen bol aparatı eşim evdeki emektar süpürgeyi anında kenara attı eksikleri yok değil öncelikle ürün eş değer başka markalara kıyasla ağır uzun süreli kullanımda yoruyor askı aparatı çok yetersiz sadece ana gövdeye bağlı ekipmanı asabiliyorsunuz aparatları başka yerde saklamanız lazım toz haznesini temizlemek gövdeden ayırmanız lazım en ucuz versiyonlarında sadece kapak ayırmadan halledebiliyorsunuz süpürgeyi seçmemdeki nedenim yüksek güç 25v kapasite olması,-0.719596171802054
ürün çok güzel çekim gayet iyi de artı tavsiye ederim 5 yıldızlık ürün garanti belgesini göndermemişsiniz yıldız kırdım gönderirseniz sevinirim teşekkürler philips güzel ürün çıkardığı tavsiye üzerine aldım tavsiye ederim,1.8743686868686869
ürün iyi amazon sitesinde fatura sıkıntısı sitelerde ürün teslim edilmeden faturasını gönderiyorlar amazonda faturasını 1 hafta göndereceklerini söylediler ürünü philips sitesinde kaydedip 5 yıl motor garantisi almak fatura lazım,0.5968253968253969
ürün güzel kaliteli yanlış kalın yüzeyli halı süpürürken üzerindeki başlığı çok zor oluyor süpürülmüyor,0.4337121212121212
yaklaşık 12 saatte sorunsuz geldiüründe sıkıntı yok günlük kullanım idealdir yıldızı aldıktan fiyatı düştüğü kestim400 il farkı hesabıma tanırsınız ümit ediyorum,0.1607142857142858
ürün güzel fatura elime ulaşmadı,0.4545454545454545
plastik tuşlar dikkatli kullanmak lazım çok çabuk kırılıyor,0.125
elektrik süpürgesi olarak çok iyi türlü beklentinizi karşılıyor silme fonksiyonu tır yerleri sileceğim alırsanız hayal kırıklığı yaşarsınız,0.6111111111111112
genel olarak çok memnun kaldım tek kötü tarafı parkede su lekesi kalıyor,-0.9
ürünü başka pahalı marka alan arkadaşım önerdi annesine philip almış onda deneyince onca parayı verdim mutlaka al dedi kaliteli güvendiğim marka arkadaşımın annesinde kullandım gerek yok yoruma yıldızlar bol bol olsun iki varsın philipskargodaki özensiz paketlemeden yıldızım düştü kargo hızı şahane yalnız,0.8607142857142858
hortum ilk kullanımda çıktı hızlı yapıştırıcı yapıştırdım anda sorun yok kullanımı kolay herhangi sıkıntı yaşatacağını düşünmüyorum emiş gücü güzel ses seviyesi 1. kademede az değil aşırı rahatsız edici değil kademeler bence gürültülü,-2.693073593073593
ürün çok i̇yi̇ i̇ş görüyor kisa sürede eli̇mi̇z ayağimiz oldu vaki̇tli̇ vaki̇tsi̇z hemen çaliştirip etrafi temi̇zli̇yoruz ürünü kötülemek i̇stemi̇yorum amaböyle bi̇r markanin güzel bi̇r ürününde kullanilan uzatma borusunun uzatma geçi̇ş plasti̇ği̇ nasil kirilir anlamak mümkün deği̇l düşürme vs i̇le kullanicinin yapacaği bi̇rzarar deği̇l di̇rek süpürgeyi̇ kullanirken yapilan i̇leri̇ geri̇ hareketlerden dolayi olan bi̇r hasar bakalim garanti̇ süresi̇ i̇çi̇nde şi̇kayeti̇mi̇ mai̇l attim i̇lgi̇leceklermi̇ göreceği̇z,-0.5142045454545455
genel olarak memnunum süpürge sapının bağlantı kilitleri maalesef kaliteli değil üstelik parçalar garanti kapsamında değil süpürge sert plastikten imal edildiğinden temizlerken dikkat edilmeli kırılmaya çok müsait,-0.013888888888888895
güzel beğendim keşke bataryası ayrı şarj edile bilseydi,0.4545454545454545
cihaz supurger olarak harika meb bekleyince su sildiriyor,1.0
almanızı tavsiye ederim ağırlığı normal sılmesı supurmesı harika kendime aldım adımdı krdesım annemde sıparıs ettik,1.125
kutusundan çıkarıp hemen kullandım şarjı bittikten tekrar şarj olmadı kullanamadım servise götürdüm aksilik 5 yaşındaki çocuğum kutusunu garanti belgesiyle birlikte kapıcıya verdi iade edecektim,-0.4583333333333333
yıllık kullanım sonunda borunun plastik bağlantısı kırıldı herhangi zorlamaya maruz kalmadı ürün genel olarak kullanışlı rahat,0.29166666666666663
canavar çekiyor fiyatına göre harika bu ürün,0.6
ürünün boru butonu kırık çıktı uyguna aldığımız iade etmedik servisten orijinal parçayı temin ettik kuru başlık yünlü kalın halıları çekmek pek mümkün değil eğer kilim yolluk tarzı halıların sorunsuz şekilde çekebilirsiniz islak başlık süpürürken silme olayı gerçekten çok güzel kolaylık çok sulu siliyordu çözümü suyun beze geldiği deliklere peçete koyarak bulduk böylelikle ıslaklık ayarını kendimiz sağlamış olduk an çok memnunuz,0.17890442890442887
yeni aldık ürün kalitesi çekim gücü zayıf az tüylü halılarda kir toz bırakıyor tekrar yeniden çekmek gerekiyor ürünü iade ettik ürün ilk elimize aldığımızdaki malzeme kalitesi iyi intiba vermiyor plastikler çok kötü sanki philip ürünü değilmiş rodi'mi kullandım malzeme tasarım çekim gücü çok iyiydi onda başlık kırılması sorunu teknik servis yetersizliği fiyat ürünün yarısı dikkatli kullandığımız halde 6-7 ayda başlık hortumu kırılıyor garanti dışı parçalar başlık komple satılıyor sanki parçalar özellikle kırılsın yedek parça satalım modelinde yapılmış ürünler,-1.2527236652236653
üründen birbirine yakın zamanlarda 3 adet aldım plastik kısımları çok kalitesiz sürekli kırılıyor 3 süpürge toplamda 6 kere plastik değişimi yapıldı garanti kapsamına alınmadı kesinlikle alınmamalı,-0.25
ürün ilgili olumlu olumsuz yorumlar ürünü çeyiz aldık açıp inceledik kullanma şansımız şimdilik olmayacak aksesuarı mecburen kutusunda muhafaza edeceksiniz yorumlarda paraların çok çabuk kırıldığını parçaların paraların motor hariç aksesuara girdiğini yüzden garantiye girmediğini yazıyor ürün çok kısa zamanda teslim oldu aldım gün fiyatı 250 tl düştü buda insanı üzüyor insana adaletli gelmiyor,0.75
ürün hızlıca ulaştı sevindirici kutunun açılmadığından içinden ürün alınmadığından emin olamadım ince bu plastikle sarılmış yırtılmıştı temizlik çekiş gücü tatmin edici,1.5902777777777777
kronik hataya dikkat çekmek yorum yazıyorum kasım 2023'te aldığımız süpürgesini performansından oldukça memnunuz mart 2024'e geldiğimizde süpürge borusunun bağlantısını sağlayan buton yerinden çıktı i̇nternet'ten araştırma yaparken sorun karşıma çıkmıştı basit kullanıcı hatasıdır çok dikkate almamıştım yorumlar oldukça doğruymuş almayı düşünen uyarıyorum philips hiçbir şekilde ürünün arkasında durmuyor yedek parça olduğu kirmadiginizi bilelim şeklinde tavır takınıp parçayı satın almamız servislere yönlendiriyor,-0.8707792207792208
ürün gayet güzel yeterli fiyatı düştü tarafıma iade gelmedi fiyat dalgalanmalarından mağdur olmaktan sıkıldım,-0.4204545454545455
halının üzerinde çok zor gidiyor altında silikon püsküller halıya vantuz yapışıyor aletin ağırlığı baya zorlanıyorsunuz tarz süpürge ilk kullanışım hayal kırıklığı oldu emiş gücü güzel,-0.1287878787878789
merhaba ürünü pratik olsun aldım çekiş gücüne diyeceğim yok kablolu süpürge en az halı süpürmek işkence resmen halıda ilerlemiyor iki kolunla itmek gerekiyor philip mühendisleri akıl edemiyor anlamadım başlık altında tam ortasında ileriye doğru set çıkıntı resmen kazma halıya saplanıp ilerlemesini engelliyor aşırı zorlamak gerekiyor ilerlemesi sefer kırılma ihtimali normal zeminlerde sıkıntı yok i̇ade alsalar iade ederim 15 da kullandım yüzden iade edilmez düşünüyorum ayrıca başlık altındaki esnek lastikler köşelerinden hemen yıprandı alışacağınız hemen şipşak ortalığı süpürüp geçeyim diyemiyorum kol kası yaptırıyor yoruyor,-2.480465367965368
ürünü beğendim ıslak silme başlığını çok kullanışlı bulmuyorum olmasa olur lacivert model mantıklı almak 7-8 aylık kullanımdan teleskopik boru üst taraftaki plastik kısmından kırılıyor almadan yorumlarda okumuştum dikkatli kullanmama başıma geldi philips yetkili servisi fatura tarihinden sonraki 1 yıl içerisinde plastik parçanın değişimini garantiden yapıyormuş bilmediğim 1 yıl 2 gün aradığımda ücret karşılığı yapılabileceği söylendi 2 yıl ürün garantisi olmasına uygulama çok saçma geliyor yeni alacaklara bilgi olsun paylaşmak istedim,0.25515873015873036
ürünü epey geç değerlendirmem iyi oldu ürünün eksik iyi olmayan tarafları 1. motorlu süpürge başlığının altındaki plastik çıkıntılar mermer kalebodur laminant vs parke döşemelerde aşırı derecede toz izleri bırakıyor taraftaki plastik çıkıntıları kesmek zorunda kaldım 2 kullanma kılavuzu anlaşılır değil karışık şekiller numaralandırılmış açıklama yok emiş gücü çok zayıf motorlu süpürge başlığı altındaki plastik çıkıntılar emmeyi engelliyor 4. ışıklandırma yetersiz çok zayıf ışıklandırma alanı çok az dört adet ışıklandırma koyarak süpürge başlığının genişliği biraz mesafesi artırılabilir,-0.48419312169312145
çekişini beğenmedim elektrik süpürgemde aynı marka çok beğenerek aldım çekişi yetersiz geldi,-0.1458333333333334
aparatlar poşetinde sorunsuzdu makinesinin poşeti açılmıştı üstünde bu deformasyon gördük denemedim eğer sorun görürsem iade edeceğim,-1.375
silme kısmından hoşlanmadım,-0.1666666666666666
şarj göstergesi sorunlu 6 farklı ürünü deneyimledim aynı şarj yüzde gösteren ekranı mat soluk gözüküyor,-0.0416666666666666
ürün gayet başarılı şarj ekranı bulanık,1.0
ürünü beğenerek severek aldım dijital ekranı şarj vs gösteren kısmı buğulu yazılar soluk çok cansız görünüyordu kutu içindeki aksesuarların bulunduğu bölmelerin bazılarında yırtılma vardı muhtemelen iade alınan ürünün gönderimi yapılmış i̇ade onaylandıktan aynı üründen satın alacağım,-0.3666666666666666
ürün geldiğinde uzun borusunun birleşim yapılan düğmesi oset'indeydi yerinden çıkmış kırıktı değişim olursa sevinirim,0.0
halıda kullanımı zor dışında güzel parasının halkını veren ürün çekimi gayet güzel,0.3257575757575756
aparatları takıp çıkarmak çok zor çok sert zorlayınca kırıldığını belirten çokça kullanıcı yorumu olduğundan aparatları takıp çıkarırken zorlamaktan imtina etmek gerekiyor parlak yüzeylerde su miktarı yeterli mat pütürlü yüzeylerde yetersiz kalabiliyor su miktarı ayarlanabilir olsa iyi olurmuş sabun bazlı deterjan koyduğunuzda parke mermer ahşap deterjanı su akışını tıkıyor yavaşlatıyor su miktarı yetersiz kalıyor hergün temizlenen zeminleri aynı anda süpürüp silebilirsiniz gün tozlanmış zeminlerde silme aparatının süpürmesi yetersiz kalıyor mutlaka kuru süpürme gerekiyor koltuk aparatı ergonomik değil döşemeyi düzgün kavramıyor dyson v8 kullanıyorum yazlık eve aldım aynı fiyata kesinlikle dyson v8 açık ara üstün v8 filtre sistemi süpürme sistemi aparatların takılıp çıkarılması kolaylığı koltuk başlığı malzeme kalitesi vs yönüyle çok çok üstün fiyatı düşük olursa zaman philips'in modeli v8 tercih edilebilir memnun kalanlar genelde ilk defa şarjlı süpürge kullananlar tabiatıyla klasik süpürgeye nazaran memnun kalmamaları mümkün değil almadan mutlaka model dyson aparat takıp çıkarma malzeme kalitesi koltuk aparatı vs detaylı inceleyip deneyerek seçmekte fayda,-0.029497585747585472
ay içerisinde titiz kullanmanıza boru üzerindeki plastik parça kırıldı 1200 il ye satıyor philip dayanıksız olmamalı,-1.1071428571428572
led şarj göstergesi silik,-0.25
satın aldığım ürünün geçen hafta boru kısmı süpürge yaparken 2'ye ayrıldı ilgili yedek parçanın tarafıma teminini rica ediyorum,0.0
ürün philips kalitesine yakışmayan üretim olmuş şarj fed göstergesi buğulu sanki eski parça takılmış plastik aksamları kaliteden uzak ilerleyen dönemlerde kırılmaya çok elverişli kaldı şekilde kırıldığını belirten çok tüketici olmuş halı üzerinde en düşük kademede dahi zor gidiyor emiş gücü iyi olsa ileride kırılması muhtemel olduğu kullanmadan iade ettim satıcı amazon un kendisi olduğu noktada sorun yaşamadım,-0.38888888888888873
merhaba alalı 6 ay olmadı supurme sopası kırıldı garantiye girecek bıkmıyorum,0.125
üründe eksik parçalar yer silme bez aparatı be bezleri çıkmadı,-0.27604166666666663
herkesin bildiği rakibine göre fiyatı yakın işlev kalite yerlerde,0.5
philips dikey süpürgelerdeki kronik kırılma sorunu modelde orta boru plastiği aynı yerden kırılıyor dikkat ederseniz edin yılda 1-2 defa boruya para ödeyeceğinizi hesap ederek satın alın,0.0
